grapheme	phoneme
ขัดขืน	kʰ a t̚ ˨˩ . kʰ ɯː n ˩˩˦
คอนเสิร์ต	kʰ ɔː n ˧ . s ɤː t̚ ˨˩
ชลิตา	t͡ɕʰ a ˦˥ . l i ˦˥ . t aː ˧
มูลฐานนิยม	m uː n ˧ . tʰ aː n ˩˩˦ . n i ˦˥ . j o m ˧
ใส	s aj ˩˩˦
ฤาษีแปลงสาร	rɯː ˧ . s iː ˩˩˦ . p l ɛː ŋ ˧ . s aː n ˩˩˦
ผู้รุกราน	pʰ uː ˥˩ . r u k̚ ˦˥ . r aː n ˧
ฟรี	f r iː ˧
ไพรเมต	pʰ r aj ˧ . m eː t̚ ˥˩
ทนาย	tʰ a ˦˥ . n aːj ˧
ทรงพระเจริญ	s o ŋ ˧ . pʰ r a ˦˥ . t͡ɕ a ˨˩ . r ɤː n ˧
พาหุ	pʰ aː ˧ . h u ʔ ˨˩
ตะแบก	t a ˨˩ . b ɛː k̚ ˨˩
พื้นที่ผิว	pʰ ɯː n ˦˥ . tʰ iː ˥˩ . pʰ iw ˩˩˦
สงสาร	s o ŋ ˩˩˦ . s aː n ˩˩˦
แผนภูมิ	pʰ ɛː n ˩˩˦ . pʰ uː m ˧
หนอนหนังสือ	n ɔː n ˩˩˦ . n a ŋ ˩˩˦ . s ɯː ˩˩˦
ประเจิดประเจ้อ	p r a ˨˩ . t͡ɕ ɤː t̚ ˨˩ . p r a ˨˩ . t͡ɕ ɤː ˥˩
การก่อการร้าย	k aː n ˧ . k ɔː ˨˩ . k aː n ˧ . r aːj ˦˥
ภรรยา	pʰ a n ˧ . r a ˦˥ . j aː ˧
หัวใจหยุดเต้น	h ua̯ ˩˩˦ . t͡ɕ aj ˧ . j u t̚ ˨˩ . t e n ˥˩
จน	t͡ɕ o n ˧
เศรษฐยาธิปไตย	s eː t̚ ˨˩ . tʰ a ˨˩ . j aː ˧ . tʰ i p̚ ˦˥ . p a ˨˩ . t aj ˧
ลำใย	l a m ˧ . j aj ˧
แทนซาเนีย	tʰ ɛː n ˧ . s aː ˧ . n ia̯ ˧
อิคิดนา	ʔ i ˨˩ . kʰ i t̚ ˦˥ . n aː ˧
บาศก์	b aː t̚ ˨˩
อัตราส่วน	ʔ a t̚ ˨˩ . t r aː ˧ . s ua̯ n ˨˩
เตาไฟ	t aw ˧ . f aj ˧
แตงโม	t ɛː ŋ ˧ . m oː ˧
ชบา	t͡ɕʰ a ˦˥ . b aː ˧
ซีอิ๊ว	s iː ˧ . ʔ iw ˦˥
อรรฆย์	ʔ a k̚ ˨˩
กระตือรือล้น	k r a ˨˩ . t ɯː ˧ . rɯː ˧ . l o n ˦˥
ประโคม	p r a ˨˩ . kʰ oː m ˧
แมนนาที	m ɛː n ˧ . n aː ˧ . tʰ iː ˥˩
ป่าไม้	p aː ˨˩ . m aːj ˦˥
ยุทธ์	j u t̚ ˦˥
ไซเบอร์เนติกส์	s aj ˧ . b ɤː ˧ . n eː ˧ . t i k̚ s ˨˩
อักษร	ʔ a k̚ ˨˩ . s ɔː n ˩˩˦
บิณฑบาตร	b i n ˧ . tʰ a ˦˥ . b aː t̚ ˨˩
เมษ	m eː t̚ ˥˩
น้ำมันก๊าด	n a m ˦˥ . m a n ˧ . k aː t̚ ˦˥
สวีเดน	s a ˨˩ . w iː ˧ . d e n ˧
อมนุษย์	ʔ a ˨˩ . m a ˦˥ . n u t̚ ˦˥ . s a ˨˩ . j a ˦˥ .
กระโถน	k r a ˨˩ . tʰ oː n ˩˩˦
หัวโจก	h ua̯ ˩˩˦ . t͡ɕ oː k̚ ˨˩
วงกต	w o ŋ ˧ . k o t̚ ˨˩
นครลำปาง	n a ˦˥ . kʰ ɔː n ˧ . l a m ˧ . p aː ŋ ˧
หุ่นยนต์	h u n ˨˩ . j o n ˧
การเลือกตั้ง	k aː n ˧ . lɯ a̯ k̚ ˥˩ . t a ŋ ˥˩
เพลงเพื่อชีวิต	pʰ l eː ŋ ˧ . pʰ ɯa̯ ˥˩ . t͡ɕʰ iː ˧ . w i t̚ ˦˥
วิกฤต	w i ˦˥ . k r i t̚ ˨˩ . t a ˨˩ .
เคเบิล	kʰ eː ˧ . b ɤ l ˥˩
แนะ	n ɛʔ ˦˥
คลอก	kʰ l ɔː k̚ ˥˩
สร้อยข้อมือ	s ɔj ˥˩ . kʰ ɔː ˥˩ . m ɯː ˧
งบ	ŋ o p̚ ˦˥
ตาปู	t aː ˧ . p uː ˧
ราง	r aː ŋ ˧
ฤๅ	rɯː ˧
ประชาชาติ	p r a ˨˩ . t͡ɕʰ aː ˧ . t͡ɕʰ aː t̚ ˥˩
ไม้อัด	m aːj ˦˥ . ʔ a t̚ ˨˩
น้ำปลาพริก	n a m ˦˥ . p l aː ˧ . pʰ r i k̚ ˦˥
ฉ้อโกง	t͡ɕʰ ɔː ˥˩ . k oː ŋ ˧
หลักสูตร	l a k̚ ˨˩ . s uː t̚ ˨˩
จ่า	t͡ɕ aː ˨˩
พระเจ้าช่วยกล้วยทอด	pʰ r a ˦˥ . t͡ɕ aːw ˥˩ . t͡ɕʰ ua̯j ˥˩ . k l ua̯j ˥˩ . tʰ ɔː t̚ ˥˩
เก๊	k eː ˦˥
วงกบ	w o ŋ ˧ . k o p̚ ˨˩
หนืด	n ɯː t̚ ˨˩
ความวิปลาส	kʰ w aː m ˧ . w i p̚ ˦˥ . p a ˨˩ . l aː t̚ ˥˩
กษัตร	k a ˨˩ . s a t̚ ˨˩
จุน	t͡ɕ u n ˧
ทรยศ	tʰ ɔː ˧ . r a ˦˥ . j o t̚ ˦˥
บุคคล	b u k̚ ˨˩ . kʰ o n ˧
แคะ	kʰ ɛʔ
คำหับ	kʰ a m ˧ . h a p̚ ˨˩
สายตาเอียง	s aːj ˩˩˦ . t aː ˧ . ʔ ia̯ ŋ ˧
อุปสรรค	ʔ u ˨˩ . p a ˨˩ . s a k̚ ˨˩
โบรมีน	b r oː ˧ . m iː n ˧
กระเป๋าเดินทาง	k r a ˨˩ . p aw ˩˩˦ . d ɤː n ˧ . tʰ aː ŋ ˧
จักรวาล	t͡ɕ a k̚ ˨˩ . k r a ˨˩ . w aː n ˧
โลง	l oː ŋ ˧
หูดับตับไหม้	h uː ˩˩˦ . d a p̚ ˨˩ . t a p̚ ˨˩ . m aj ˥˩
เอกสารชั้นต้น	ʔ eː k̚ ˨˩ . k a ˨˩ . s aː n ˩˩˦ . t͡ɕʰ a n ˦˥ . t o n ˥˩
ต้อนรับ	t ɔː n ˥˩ . r a p̚ ˦˥
ช่างทอง	t͡ɕʰ aː ŋ ˥˩ . tʰ ɔː ŋ ˧
กระสา	k r a ˨˩ . s aː ˩˩˦
เดโช	d eː ˧ . t͡ɕʰ oː ˧
ดอกจัน	d ɔː k̚ ˨˩ . t͡ɕ a n ˧
แคลิฟอร์เนีย	kʰ ɛː ˧ . l i ˦˥ . f ɔː ˧ . n ia̯ ˧
กะตือรือร้น	k a ˨˩ . t ɯː ˧ . rɯː ˧ . r o n ˦˥
ตอนนี้	t ɔː n ˧ . n iː ˦˥
ความลวงโลก	kʰ w aː m ˧ . l ua̯ ŋ ˧ . l oː k̚ ˥˩
ลำนำนิทาน	l a m ˧ . n a m ˧ . n i ˦˥ . tʰ aː n ˧
หมากพร้าว	m aː k̚ ˨˩ . pʰ r aːw ˦˥
ปุบปับ	p u p̚ ˨˩ . p a p̚ ˨˩
เนปีดอ	n eː ˧ . p iː ˧ . d ɔː ˧
บั่น	b a n ˨˩
เว้า	w aw ˦˥
ปิตาธิปไตย	p i ˨˩ . t aː ˧ . tʰ i p̚ ˦˥ . p a ˨˩ . t aj ˧
คู	kʰ uː ˧
ไม่อยู่	m aj ˥˩ . j uː ˨˩
ลิ้นหัวใจ	l i n ˦˥ . h ua̯ ˩˩˦ . t͡ɕ aj ˧
ความเจ็บ	kʰ w aː m ˧ . t͡ɕ e p̚ ˨˩
เจริญพร	t͡ɕ a ˨˩ . r ɤː n ˧ . pʰ ɔː n ˧
ยิน	j i n ˧
สแลง	s a ˨˩ . l ɛː ŋ ˧
คอร์ต	kʰ ɔː t̚ ˨˩
ค่าโง่	kʰ aː ˥˩ . ŋ oː ˥˩
แผ่ว	pʰ ɛw ˨˩
ผู้กระหายสงคราม	pʰ uː ˥˩ . k r a ˨˩ . h aːj ˩˩˦ . s o ŋ ˩˩˦ . kʰ r aː m ˧
ป่า	p aː ˨˩
ข้าวยากหมากแพง	kʰ aːw ˥˩ . j aː k̚ ˥˩ . m aː k̚ ˨˩ . pʰ ɛː ŋ ˧
หยาบ	j aː p̚ ˨˩
กรรมการก	k a m ˧ . m a ˦˥ . k aː ˧ . r o k̚ ˦˥
ประจวบคีรีขันธ์	p r a ˨˩ . t͡ɕ ua̯ p̚ ˨˩ . kʰ iː ˧ . r iː ˧ . kʰ a n ˩˩˦
สุมน	s u ˨˩ . m a ˦˥ . n a ˦˥ .
ลุ่มหลง	l u m ˥˩ . l o ŋ ˩˩˦
แม่เหล็กไฟฟ้า	m ɛː ˥˩ . l e k̚ ˨˩ . f aj ˧ . f aː ˦˥
ทั่ว	tʰ ua̯ ˥˩
ขั้ว	kʰ ua̯ ˥˩
เยรูซาเลม	j eː ˧ . r uː ˧ . s aː ˧ . l e m ˧
แอปเปิล	ʔ ɛ p̚ ˦˥ . p ɤ n ˥˩
สภา	s a ˨˩ . pʰ aː ˧
แล้วก็	l ɛːw ˦˥ . k ɔː ˥˩
เพิกเฉย	pʰ ɤː k̚ ˥˩ . t͡ɕʰ ɤːj ˩˩˦
หกเหลี่ยม	h o k̚ ˨˩ . l ia̯ m ˨˩
ฦกซึ้ง	lɯ k̚ ˦˥ . s ɯ ŋ ˦˥
เสริม	s ɤː m ˩˩˦
เลื่อน	lɯ a̯ n ˥˩
ซีเซียม	s iː ˧ . s ia̯ m ˥˩
ปืนเล็กยาว	p ɯː n ˧ . l e k̚ ˦˥ . j aːw ˧
เรือโท	rɯ a̯ ˧ . tʰ oː ˧
หมัด	m a t̚ ˨˩
มิจฉาชีพ	m i t̚ ˦˥ . t͡ɕʰ aː ˩˩˦ . t͡ɕʰ iː p̚ ˥˩
ฉุกเฉิน	t͡ɕʰ u k̚ ˨˩ . t͡ɕʰ ɤː n ˩˩˦
ตูวา	t uː ˧ . w aː ˧
กระโทง	k r a ˨˩ . tʰ oː ŋ ˧
ขอร้อง	kʰ ɔː ˩˩˦ . r ɔː ŋ ˦˥
ท่อยาง	tʰ ɔː ˥˩ . j aː ŋ ˧
กังหันลม	k a ŋ ˧ . h a n ˩˩˦ . l o m ˧
ปาน	p aː n ˧
เปลือกตา	p lɯ a̯ k̚ ˨˩ . t aː ˧
แชร์	t͡ɕʰ ɛː ˧
ระลึก	r a ˦˥ . lɯ k̚ ˦˥
โบราณสถาน	b oː ˧ . r aː n ˧ . n a ˦˥ . s a ˨˩ . tʰ aː n ˩˩˦
นักวิชาการ	n a k̚ ˦˥ . w i ˦˥ . t͡ɕʰ aː ˧ . k aː n ˧
เล่นใหญ่	l e n ˥˩ . j aj ˨˩
รีดไถ	r iː t̚ ˥˩ . tʰ aj ˩˩˦
กรอก	k r ɔː k̚ ˨˩
แย่ง	j ɛ ŋ ˥˩
มุด	m u t
อาทิตย์	ʔ aː ˧ . tʰ i t̚ ˦˥
คลับ	kʰ l a p̚ ˨˩
กระถางต้นไม้	k r a ˨˩ . tʰ aː ŋ ˩˩˦ . t o n ˥˩ . m aːj ˦˥
เฮงซวย	h e ŋ ˧ . s ua̯j ˧
เปลือกสมอง	p lɯ a̯ k̚ ˨˩ . s a ˨˩ . m ɔː ŋ ˩˩˦
การปกป้อง	k aː n ˧ . p o k̚ ˨˩ . p ɔ ŋ ˥˩
มักจะ	m a k̚ ˦˥ . t͡ɕ aʔ ˨˩
คณิตศาสตร์	kʰ a ˦˥ . n i t̚ ˦˥ . s aː t̚ ˨˩
หอยแครง	h ɔːj ˩˩˦ . kʰ r ɛː ŋ ˧
เซ็กส์	s e k̚ ˦˥
บัลลาสต์	b a l ˧ . l aː t̚ ˨˩
หีบเพลงชัก	h iː p̚ ˨˩ . pʰ l eː ŋ ˧ . t͡ɕʰ a k̚ ˦˥
บุรพบท	b u p̚ ˨˩ . pʰ a ˦˥ . b o t̚ ˨˩
จามรี	t͡ɕ aː ˧ . m a ˦˥ . r iː ˧
สวัสดีปีใหม่	s a ˨˩ . w a t̚ ˨˩ . d iː ˧ . p iː ˧ . m aj ˨˩
ทฤษฎีบท	tʰ r i t̚ ˦˥ . s a ˨˩ . d iː ˧ . b o t̚ ˨˩
เตรียมตัว	t r ia̯ m ˧ . t ua̯ ˧
สุขสันต์วันเกิด	s u k̚ ˨˩ . s a n ˩˩˦ . w a n ˧ . k ɤː t̚ ˨˩
เกล็ดเลือดน้อย	k r e t̚ ˨˩ . lɯ a̯ t̚ ˥˩ . n ɔːj ˦˥
อาดดิสอาบาบา	ʔ aː t̚ ˥˩ . d i s ˦˥ . ʔ aː ˧ . b aː ˧ . b aː ˥˩
สวัสดิการ	s a ˨˩ . w a t̚ ˨˩ . d i ˨˩ . k aː n ˧
ตุง	t u ŋ ˧
เชิงซ้อน	t͡ɕʰ ɤː ŋ ˧ . s ɔː n ˦˥
ปืนไฟ	p ɯː n ˧ . f aj ˧
วอชิงตัน	w ɔː ˧ . t͡ɕʰ i ŋ ˧ . t a n ˧
น้ำส้มสายชู	n a m ˦˥ . s o m ˥˩ . s aːj ˩˩˦ . t͡ɕʰ uː ˧
วายวาง	w aːj ˧ . w aː ŋ ˧
เกียรติ	k ia̯ t̚ ˨˩
อิ้ง	ʔ i ŋ ˥˩
ส่อ	s ɔː ˨˩
ปาขี้	p aː ˧ . kʰ iː ˥˩
โคโลญ	kʰ oː ˧ . l oː n ˧
เอามา	ʔ aw ˧ . m aː ˧
เยือก	j ɯa̯ k̚ ˥˩
ฝักบัว	f a k̚ ˨˩ . b ua̯ ˧
ปะระโลกย	p a ˨˩ . r a ˦˥ . l oː k̚ ˥˩
บอมเบย์	b ɔ m ˧ . b eː ˧
เสือกไส	s ɯa̯ k̚ ˨˩ . s aj ˩˩˦
พายุหิมะ	pʰ aː ˧ . j u ˦˥ . h i ˨˩ . m aʔ ˦˥
เตี่ย	t ia̯ ˨˩
แขนง	kʰ a ˨˩ . n ɛː ŋ ˩˩˦
ผู้ช่วยศาสตราจารย์	pʰ uː ˥˩ . t͡ɕʰ ua̯j ˥˩ . s aː t̚ ˨˩ . t r aː ˧ . t͡ɕ aː n ˧
ชัลลุกะ	t͡ɕʰ a n ˧ . l u ˦˥ . k aʔ ˨˩
การกรอก	k aː n ˧ . k r ɔː k̚ ˨˩
พยางค์	pʰ a ˦˥ . j aː ŋ ˧
ไม้ตาย	m aj ˦˥ . t aːj ˧
ความมั่ว	kʰ w aː m ˧ . m ua̯ ˥˩
สาว	s aːw ˩˩˦
ต่อเนื่อง	t ɔː ˨˩ . n ɯa̯ ŋ ˥˩
เสี่ยว	s ia̯w ˨˩
กระเบน	k r a ˨˩ . b eː n ˧
สัญลักษณ์	s a n ˩˩˦ . j a ˦˥ . l a k̚ ˦˥
นักยิงธนู	n a k̚ ˦˥ . j i ŋ ˧ . tʰ a ˦˥ . n uː ˧
เรือนกระจก	rɯ a̯ n ˧ . k r a ˨˩ . t͡ɕ o k̚ ˨˩
รักษาการ	r a k̚ ˦˥ . s aː ˩˩˦ . k aː n ˧
ภาษาใบ้	pʰ aː ˧ . s aː ˩˩˦ . b aj ˥˩
แพร	pʰ r ɛː ˧
การประเชิญ	k aː n ˧ . p r a ˨˩ . t͡ɕʰ ɤː n ˧
อวย	ʔ ua̯j ˧
กระดูกสะบัก	k r a ˨˩ . d uː k̚ ˨˩ . s a ˨˩ . b a k̚ ˨˩
เทศนา	tʰ eː t̚ ˥˩ . s a ˨˩ . n aː ˩˩˦
เด้ง	d e ŋ ˥˩
อุปรากร	ʔ u p̚ ˨˩ . p a ˨˩ . r aː ˧ . k ɔː n ˧
ไม้โอ	m aːj ˦˥ . ʔ oː ˧
ฝ้า	f aː ˥˩
แต่งตัว	t ɛ ŋ ˨˩ . t ua̯ ˧
ทุพพลภาพ	tʰ u p̚ ˦˥ . pʰ o n ˧ . l a ˦˥ . pʰ aː p̚ ˥˩
รณรงค์	r o n ˧ . n a ˦˥ . r o ŋ ˧
ฝ	f ɔː ˩˩˦
ออกกำลังกาย	ʔ ɔː k̚ ˨˩ . k a m ˧ . l a ŋ ˧ . k aːj ˧
โทเนอร์	tʰ oː ˧ . n ɤː ˥˩
แรงเสียดทาน	r ɛː ŋ ˧ . s ia̯ t̚ ˨˩ . tʰ aː n ˧
มัตถลุงค์	m a t̚ ˦˥ . tʰ a ˨˩ . l u ŋ ˧
วิสามัญ	w i ˦˥ . s aː ˩˩˦ . m a n ˧ . j a ˦˥ .
สปุตนิก	s a ˨˩ . p u t̚ ˦˥ . n i k̚ ˨˩
การบวช	k aː n ˧ . b ua̯ t̚ ˨˩
ภูมิ์ลำเนา	pʰ uː m ˧ . l a m ˧ . n aw ˧
ดินเผา	d i n ˧ . pʰ aw ˩˩˦
ความขี้ขลาด	kʰ w aː m ˧ . kʰ iː ˥˩ . kʰ l aː t̚ ˨˩
นาที	n aː ˧ . tʰ iː ˧
ปิ้ง	p i ŋ ˥˩
ตะขาบ	t a ˨˩ . kʰ aː p̚ ˨˩
ปรมินทร	p a ˨˩ . r a ˦˥ . m i n ˧ . tʰ r aʔ ˦˥
โคม่า	kʰ oː ˧ . m aː ˥˩
ลัทธิอำนาจนิยม	l a t̚ ˦˥ . tʰ i ˦˥ . ʔ a m ˧ . n aː t̚ ˥˩ . n i ˦˥ . j o m ˧
โปสต์การ์ด	p oː t̚ ˦˥ . s a ˨˩ . k aː t̚ ˦˥
ทดสอบ	tʰ o t̚ ˦˥ . s ɔː p̚ ˨˩
ปลูกฝัง	p l uː k̚ ˨˩ . f a ŋ ˩˩˦
หนองบัวลำภู	n ɔː ŋ ˩˩˦ . b ua̯ ˧ . l a m ˧ . pʰ uː ˧
คว้า	kʰ w aː ˦˥
เทอร์มอมิเตอร์	tʰ ɤː ˧ . m ɔː ˧ . m i ˦˥ . t ɤː ˥˩
สายตา	s aːj ˩˩˦ . t aː ˧
เบสบอล	b eː s ˦˥ . b ɔ n ˧
นามบัตร	n aː m ˧ . b a t̚ ˨˩
ชวด	t͡ɕʰ ua̯ t̚ ˥˩
ระเบิดนิวเคลียร์	r a ˦˥ . b ɤː t̚ ˨˩ . n iw ˧ . kʰ l ia̯ ˧
ประจำเดือน	p r a ˨˩ . t͡ɕ a m ˧ . d ɯa̯ n ˧
กาเมลัน	k aː ˧ . m eː ˧ . l a n ˧
ยูนิฟอร์ม	j uː ˧ . n i ˦˥ . f ɔː m ˧
มาลาวี	m aː ˧ . l aː ˧ . w iː ˧
นางไม้	n aː ŋ ˧ . m aːj ˦˥
ร่าเริง	r aː ˥˩ . r ɤː ŋ ˧
แค	kʰ ɛː ˧
โบฮีเมีย	b oː ˧ . h iː ˧ . m ia̯ ˧
สต็อกโฮล์ม	s a ˨˩ . t ɔ k̚ ˦˥ . h oː m ˧
หัวหด	h ua̯ ˩˩˦ . h o t̚ ˨˩
ความโกหก	kʰ w aː m ˧ . k oː ˧ . h o k̚ ˨˩
ภวังค์	pʰ a ˦˥ . w a ŋ ˧
เสียม	s ia̯ m ˩˩˦
ช้อนซุป	t͡ɕʰ ɔː n ˦˥ . s u p̚ ˦˥
ไข่ลูกเขย	kʰ aj ˨˩ . l uː k̚ ˥˩ . kʰ ɤːj ˩˩˦
เชื้อเพลิง	t͡ɕʰ ɯa̯ ˦˥ . pʰ l ɤː ŋ ˧
ชอล์ค	t͡ɕʰ ɔ k̚ ˦˥
มนุษยชน	m a ˦˥ . n u t̚ ˦˥ . s a ˨˩ . j a ˦˥ . t͡ɕʰ o n ˧
ภาษาโปรแกรม	pʰ aː ˧ . s aː ˩˩˦ . p r oː ˧ . k r ɛ m ˧
เฟซบุ๊ก	f eː s ˦˥ . b u k̚ ˦˥
ตลาดหลักทรัพย์	t a ˨˩ . l aː t̚ ˨˩ . l a k̚ ˨˩ . s a p̚ ˦˥
สหราชอาณาจักรบริเตนใหญ่และไอร์แลนด์เหนือ	s a ˨˩ . h a ˨˩ . r aː t̚ ˥˩ . t͡ɕʰ a ˦˥ . ʔ aː ˧ . n aː ˧ . t͡ɕ a k̚ ˨˩ . b r i ˨˩ . t eː n ˧ . j aj ˨˩ . l ɛʔ ˦˥ . ʔ aj ˧ . l ɛː n ˧ . n ɯa̯ ˩˩˦
ดูหมิ่นซึ่งหน้า	d uː ˧ . m i n ˨˩ . s ɯ ŋ ˥˩ . n aː ˥˩
พลิก	pʰ l i k̚ ˦˥
อารี	ʔ aː ˧ . r iː ˧
เต๋า	t aw ˩˩˦
ช่างไม้	t͡ɕʰ aː ŋ ˥˩ . m aːj ˦˥
นายแพทย์	n aːj ˧ . pʰ ɛː t̚ ˥˩
การแถ	k aː n ˧ . tʰ ɛː ˩˩˦
เฌอ	t͡ɕʰ ɤː ˧
คฤสตศักราช	kʰ r i t̚ ˦˥ . s a k̚ ˨˩ . k a ˨˩ . r aː t̚ ˨˩
ผ้าเช็ดปาก	pʰ aː ˥˩ . t͡ɕʰ e t̚ ˦˥ . p aː k̚ ˨˩
ทะลุ	tʰ a ˦˥ . l u ʔ ˦˥
เกลา	k l aw ˧
เคย	kʰ ɤːj ˧
ฮ่องกง	h ɔ ŋ ˥˩ . k o ŋ ˧
ชี้แจง	t͡ɕʰ iː ˦˥ . t͡ɕ ɛː ŋ ˧
นพคุณ	n a ˦˥ . pʰ a ˦˥ . kʰ u n ˧
ดาร์มสตัดเทียม	d aː m ˧ . s a ˨˩ . t a t̚ ˦˥ . tʰ ia̯ m ˥˩
ทวาร	tʰ a ˦˥ . w aː ˧ . r a ˦˥ .
เก็บดอกไม้	k e p̚ ˨˩ . d ɔː k̚ ˨˩ . m aːj ˦˥
โรเดียม	r oː ˧ . d ia̯ m ˥˩
ตารางวา	t aː ˧ . r aː ŋ ˧ . w aː ˧
หมาต๋า	m aː ˩˩˦ . t aː ˩˩˦
บาท	b aː t̚ ˨˩ .
สวิง	s a ˨˩ . w i ŋ ˩˩˦
ไส้อั่ว	s aj ˥˩ . ʔ ua̯ ˨˩
บัญชีหนังหมา	b a n ˧ . t͡ɕʰ iː ˧ . n a ŋ ˩˩˦ . m aː ˩˩˦
บ้านช่อง	b aː n ˥˩ . t͡ɕʰ ɔ ŋ ˥˩
แจง	t͡ɕ ɛː ŋ ˧
อภิชนาธิปไตย	ʔ a ˨˩ . pʰ i ˦˥ . t͡ɕʰ a ˦˥ . n aː ˧ . tʰ i ˦˥ . p a ˨˩ . t aj ˧
การ์ด	k aː t̚ ˦˥
ชุบชีวิต	t͡ɕʰ u p̚ ˦˥ . t͡ɕʰ iː ˧ . w i t̚ ˦˥
กระแสไฟฟ้า	k r a ˨˩ . s ɛː ˩˩˦ . f aj ˧ . f aː ˦˥
หม้อแปลงไฟฟ้า	m ɔː ˥˩ . p l ɛː ŋ ˧ . f aj ˧ . f aː ˦˥
พรากผู้เยาว์	pʰ r aː k̚ ˥˩ . pʰ uː ˥˩ . j aw ˧
หัสต	h a t̚ ˨˩ . s a ˨˩ . t aʔ ˨˩
ฉศก	t͡ɕʰ ɔː ˩˩˦ . s o k̚ ˨˩
นับถือ	n a p̚ ˦˥ . tʰ ɯː ˩˩˦
เพจเจอร์	pʰ eː t̚ ˨˩ . t͡ɕ ɤː ˥˩
ชัดเจน	t͡ɕʰ a t̚ ˦˥ . t͡ɕ eː n ˧
การประมวลกฎหมาย	k aː n ˧ . p r a ˨˩ . m ua̯ n ˧ . k o t̚ ˨˩ . m aːj ˩˩˦
ผู้ใหญ่	pʰ uː ˥˩ . j aj ˨˩
แย้ม	j ɛː m ˦˥
โปรย	p r oːj ˧
นี่	n iː ˥˩
ขมา	kʰ a ˨˩ . m aː ˧
อนุราธ	ʔ a ˨˩ . n u ˦˥ . r aː t̚ ˥˩
ของ	kʰ ɔː ŋ ˩˩˦
ซาร์	s aː ˧
แต๊ะอั๋ง	t ɛʔ ˦˥ . ʔ a ŋ ˩˩˦
คนสวน	kʰ o n ˧ . s ua̯ n ˩˩˦
มือที่สาม	m ɯː ˧ . tʰ iː ˥˩ . s aː m ˩˩˦
กระจาย	k r a ˨˩ . t͡ɕ aːj ˧
ฟ้าทะลายโจร	f aː ˦˥ . tʰ a ˦˥ . l aːj ˧ . t͡ɕ oː n ˧
คุณนาย	kʰ u n ˧ . n aːj ˧
ทำอาหาร	tʰ a m ˧ . ʔ aː ˧ . h aː n ˩˩˦
วัตถุนิยม	w a t̚ ˦˥ . tʰ u ˨˩ . n i ˦˥ . j o m ˧
ศีล	s iː n ˩˩˦
ไวโอเล็ต	w aj ˧ . ʔ oː ˧ . l e t̚ ˨˩
ผุ	pʰ u ʔ ˨˩
ฑาหก	tʰ aː ˧ . h o k̚ ˨˩
ปรารถนา	p r aː t̚ ˨˩ . tʰ a ˨˩ . n aː ˩˩˦
สก็อต	s a ˨˩ . k ɔ t̚ ˨˩
โคไซน์	kʰ oː ˧ . s aːj ˧
ติชม	t i ˨˩ . t͡ɕʰ o m ˧
พสก	pʰ a ˦˥ . s o k̚ ˨˩
ศรีธนญชัย	s iː ˩˩˦ . tʰ a ˦˥ . n o n ˧ . t͡ɕʰ aj ˧
กัสสปะ	k a t̚ ˨˩ . s a ˨˩ . p aʔ ˨˩
เศษส่วน	s eː t̚ ˨˩ . s ua̯ n ˨˩
โพธิสัตว์	pʰ oː ˧ . tʰ i ˦˥ . s a t̚ ˨˩
สมบัติ	s o m ˩˩˦ . b a t̚ ˨˩
แก้ม	k ɛː m ˥˩
อัญมณี	ʔ a n ˧ . j a ˦˥ . m a ˦˥ . n iː ˧
เจ้าหญิงนิทรา	t͡ɕ aw ˥˩ . j i ŋ ˩˩˦ . n i t̚ ˦˥ . tʰ r aː ˧
แสงเหนือ	s ɛː ŋ ˩˩˦ . n ɯa̯ ˩˩˦
สิงโต	s i ŋ ˩˩˦ . t oː ˧
แก็ง	k ɛ ŋ ˧
แผนการ	pʰ ɛː n ˩˩˦ . k aː n ˧
ข้าวหลามตัด	kʰ aːw ˥˩ . l aː m ˩˩˦ . t a t̚ ˨˩
กระเชา	k r a ˨˩ . t͡ɕʰ aw ˧
สังเกต	s a ŋ ˩˩˦ . k eː t̚ ˨˩
กระบถ	k r a ˨˩ . b o t̚ ˨˩
อินโดจีน	ʔ i n ˧ . d oː ˧ . t͡ɕ iː n ˧
ลองกอง	l ɔː ŋ ˧ . k ɔː ŋ ˧
เด็กสาว	d e k̚ ˨˩ . s aːw ˩˩˦
ข้อเท้า	kʰ ɔː ˥˩ . tʰ aːw ˦˥
มะหะหมัด	m a ˦˥ . h a ˨˩ . m a t̚ ˨˩
ปากว่าตาขยิบ	p aː k̚ ˨˩ . w aː ˥˩ . t aː ˧ . kʰ a ˨˩ . j i p̚ ˨˩
กับ	k a p̚ ˨˩
กางเกงใน	k aː ŋ ˧ . k eː ŋ ˧ . n aj ˧
ประสานรอย	p r a ˨˩ . s aː n ˩˩˦ . r ɔːj ˧
ร่าย	r aːj ˥˩
ตู้เพลง	t uː ˥˩ . pʰ l eː ŋ ˧
โคราช	kʰ oː ˧ . r aː t̚ ˥˩
โปรเตสแตนต์	p r oː ˧ . t eː s ˦˥ . t ɛ n ˦˥
รามเมศวร	r aː m ˧ . m eː ˧ . s ua̯ n ˩˩˦
เจ๊ง	t͡ɕ e ŋ ˦˥
หนวก	n ua̯ k̚ ˨˩
ประกันภัย	p r a ˨˩ . k a n ˧ . pʰ aj ˧
ผคม	pʰ a ˨˩ . kʰ o m ˧
ปากใบ	p aː k̚ ˨˩ . b aj ˧
